1=p	2=qi.1	3=qi.2	4=qi.3	5=qi.4	6=qi.5	7=qi.6	8=qi.7	9=qi.8	10=theta	11=c	12=s	13=q
0.285375	0.28332	0.266413	0.295459	0.296875	0.276454	0.287961	0.289472	0.281486	0.978716	4523.37	0.080404	0.281008
0.279873	0.290279	0.27708	0.299521	0.29098	0.279501	0.295871	0.27146	0.291053	1.0064	611.374	0.0750051	0.28116
0.28832	0.288345	0.268453	0.296212	0.301139	0.268189	0.283877	0.273457	0.286443	0.992199	3396.78	0.157259	0.286716
0.28134	0.287857	0.270941	0.275281	0.288954	0.290348	0.28981	0.277452	0.288511	0.958382	943.19	0.0757269	0.272826
0.278295	0.30613	0.267916	0.312287	0.302242	0.279887	0.305645	0.277597	0.284831	1.04516	1861.11	0.121482	0.287254
0.277156	0.302401	0.265423	0.31121	0.289894	0.282176	0.303637	0.283659	0.28795	1.02338	1125.23	0.0943571	0.281809
0.282023	0.289973	0.261835	0.285092	0.302222	0.282485	0.285419	0.269603	0.269259	1.02388	1106.34	0.126561	0.286826
0.282969	0.292923	0.271074	0.296926	0.279423	0.275937	0.303384	0.273534	0.289143	1.02576	1775.73	0.0509673	0.288157
0.283866	0.282014	0.272014	0.298357	0.290847	0.278446	0.293705	0.279871	0.298358	1.02449	1188.68	0.0454066	0.288809
0.28675	0.293938	0.275777	0.289943	0.293914	0.28511	0.282209	0.27522	0.277501	0.993731	6071.03	0.0168016	0.285465
0.28675	0.293938	0.275777	0.289943	0.293914	0.28511	0.282209	0.27522	0.277501	0.993731	6071.03	0.0168016	0.285465
0.285912	0.296174	0.277689	0.290257	0.2945	0.285916	0.283722	0.27659	0.278505	0.992744	6743.67	0.0173162	0.284427
0.289292	0.296393	0.278278	0.289972	0.306497	0.275128	0.296877	0.285439	0.294144	1.00102	1979.84	0.0158325	0.289501
0.285148	0.300984	0.282485	0.286431	0.304191	0.287925	0.291885	0.26545	0.285194	1.0014	2008.68	0.0665756	0.285434
0.278763	0.291649	0.243381	0.313533	0.284465	0.268743	0.299898	0.283878	0.282277	1.00909	598.065	0.0197671	0.280587
0.274727	0.287203	0.248606	0.310082	0.286489	0.26564	0.295444	0.273576	0.28928	0.992593	679.259	0.0207901	0.273248
0.272254	0.283515	0.253829	0.309326	0.286164	0.269707	0.296777	0.276653	0.288859	1.0215	305.44	0.0455258	0.276489
0.282088	0.285209	0.249887	0.308083	0.295018	0.26723	0.304371	0.276049	0.280942	1.0213	1158.64	0.0334751	0.286375
0.282649	0.283694	0.249862	0.306864	0.295767	0.263103	0.301325	0.27596	0.279552	1.01646	967.56	0.0267972	0.285972
0.280364	0.294201	0.276315	0.281919	0.284951	0.291488	0.282359	0.271404	0.283399	1.02419	3952.85	0.0185881	0.285211
0.283057	0.287406	0.274134	0.295676	0.292872	0.27413	0.283528	0.269982	0.28128	0.993256	3299.7	0.0304602	0.281686
0.286113	0.297398	0.26399	0.305764	0.293934	0.277506	0.294993	0.285931	0.27789	1.01768	1604.39	0.650513	0.289705
0.284865	0.284127	0.279846	0.281295	0.28499	0.28378	0.290499	0.27546	0.289747	1.00603	6171.61	0.0370753	0.286092
0.284187	0.28722	0.28269	0.279958	0.288353	0.2831	0.28743	0.271198	0.287083	0.990496	5435.19	0.0317309	0.282249
0.285222	0.280667	0.290015	0.282772	0.285133	0.278128	0.28997	0.273175	0.28904	1.00161	4521.47	0.0503093	0.285549
0.285326	0.290467	0.270665	0.292804	0.284603	0.288641	0.303627	0.289383	0.288021	1.01447	3088.73	0.0564679	0.288264
0.288647	0.293387	0.283568	0.299381	0.299755	0.271281	0.301338	0.283415	0.296097	1.00405	1788.6	0.18983	0.289478
0.277784	0.295822	0.251892	0.296011	0.285963	0.294621	0.290031	0.268773	0.27616	0.999037	497.498	0.0544855	0.27759
0.285404	0.290507	0.280606	0.302926	0.298288	0.262281	0.305179	0.281096	0.291903	1.04183	414.926	0.158102	0.293834
0.279551	0.297329	0.269396	0.298982	0.300168	0.295778	0.291172	0.282616	0.300016	1.05748	5403.36	0.0702428	0.290944
0.282633	0.301622	0.277633	0.301285	0.295626	0.290124	0.302284	0.278418	0.296049	1.05453	3353.05	0.0782943	0.293521
0.279723	0.303541	0.265189	0.298441	0.302679	0.276439	0.282139	0.271185	0.283773	1.03712	530.278	0.264507	0.287126
0.277294	0.27364	0.262948	0.297103	0.304905	0.290632	0.296748	0.265348	0.278453	1.0548	1252.85	0.591027	0.288112
0.279165	0.277089	0.273898	0.299896	0.301388	0.292719	0.296471	0.268188	0.275586	1.04429	1224.34	0.0630482	0.287968
0.281536	0.304967	0.260149	0.280261	0.279672	0.262351	0.293165	0.279183	0.28617	1.00036	1563.36	0.0944942	0.281608
0.278662	0.297186	0.26674	0.289065	0.284899	0.284453	0.292706	0.268195	0.286918	1.01018	1294.57	0.0119701	0.280702
0.280556	0.289412	0.264739	0.296247	0.291713	0.278768	0.296171	0.271282	0.28589	1.01875	1995.55	0.0218774	0.284322
0.290364	0.292665	0.284395	0.288801	0.291525	0.287835	0.289791	0.290693	0.290197	0.989618	3236.95	0.009489	0.288219
0.291239	0.291527	0.293311	0.281985	0.293011	0.291554	0.29153	0.294128	0.289201	1.00162	4870.18	0.00535995	0.291575
0.291371	0.292376	0.285549	0.282888	0.28966	0.289724	0.297154	0.290483	0.285441	0.993907	5927.1	0.00969334	0.290111
0.281163	0.288881	0.279649	0.299886	0.286832	0.280538	0.288005	0.288024	0.291593	1.04062	8413.59	0.0380984	0.28928
0.282529	0.291179	0.274089	0.298106	0.284325	0.282304	0.291086	0.280677	0.286827	1.00225	6173.43	0.0454559	0.282985
0.281965	0.292871	0.275092	0.295761	0.283941	0.283477	0.293037	0.279053	0.283586	1.02154	4015.93	0.0285275	0.286301
0.281368	0.292086	0.277829	0.294475	0.291403	0.279573	0.287279	0.283805	0.285354	1.00918	3973.18	0.0218779	0.283219
0.28163	0.290424	0.27646	0.290546	0.28923	0.281865	0.27906	0.283879	0.286499	1.01356	2806.7	0.0400784	0.284362
0.275783	0.285656	0.279213	0.297205	0.284622	0.28216	0.284288	0.27758	0.278202	1.03541	5853.16	0.527014	0.282787
0.279317	0.288248	0.275807	0.284681	0.287831	0.276729	0.292653	0.284251	0.287378	1.01145	3889.13	0.0202213	0.281614
0.277832	0.292528	0.270471	0.294671	0.284856	0.281159	0.276395	0.273212	0.286036	1.02033	3284.46	0.0942413	0.281889
0.274552	0.289524	0.281266	0.293233	0.297244	0.287655	0.30935	0.291929	0.291227	1.10278	3791.84	0.384538	0.294461
0.276417	0.30466	0.28951	0.30537	0.293585	0.292707	0.301297	0.280326	0.288985	1.09367	2721.64	0.129958	0.29468
0.282797	0.285309	0.254194	0.289383	0.286983	0.274957	0.274203	0.260356	0.277418	0.95259	873.981	0.0522432	0.273051
0.277708	0.302324	0.262678	0.298668	0.289177	0.291185	0.316068	0.261054	0.280115	1.04956	870.608	0.166809	0.287515
0.289511	0.302823	0.271756	0.308651	0.296991	0.288518	0.301958	0.271034	0.289517	1.04033	570.203	0.119971	0.297711
0.285331	0.30934	0.263629	0.313256	0.295523	0.281117	0.31541	0.273065	0.285531	1.03638	560.77	0.0365504	0.292673
0.277497	0.287378	0.271876	0.288164	0.296692	0.282384	0.28698	0.283801	0.289653	1.03793	2155.7	0.485147	0.285022
0.279061	0.287355	0.271176	0.289307	0.299817	0.281224	0.289784	0.282714	0.288165	1.04743	2996.85	0.236789	0.288478
0.28145	0.295391	0.276668	0.301116	0.287575	0.285554	0.297659	0.285606	0.288327	1.04421	3866.61	0.229154	0.29028
0.2831	0.293014	0.266591	0.292735	0.30198	0.278671	0.293396	0.271887	0.285797	1.00555	482.331	0.0285487	0.284225
0.279315	0.310367	0.264078	0.291816	0.294382	0.273018	0.31107	0.284234	0.281772	1.05974	1316.92	0.225601	0.291143
0.277168	0.290325	0.258207	0.304665	0.29079	0.286628	0.297425	0.263461	0.302506	1.06881	539.732	0.139936	0.290696
0.282675	0.296919	0.27175	0.301436	0.295094	0.277146	0.298737	0.289072	0.275081	0.98106	1149.07	0.113586	0.278813
0.283487	0.290698	0.273801	0.29363	0.285813	0.278263	0.292888	0.28733	0.276327	1.02536	1435.88	0.626005	0.288602
0.281725	0.285785	0.278517	0.289503	0.285311	0.281871	0.29184	0.289777	0.277633	0.999129	3065.7	0.0191353	0.281549
0.280408	0.290024	0.282005	0.294775	0.292295	0.263212	0.297587	0.275193	0.274556	1.03167	2279.6	0.0592514	0.286742
0.283861	0.291395	0.264376	0.288491	0.285629	0.305359	0.28325	0.282999	0.292746	1.0311	1474.56	0.113922	0.290128
0.279253	0.287229	0.26785	0.297808	0.294116	0.275723	0.292201	0.271854	0.275758	1.02836	1022.95	0.0857094	0.284915
